model_type=bakllava image_set=original max_len=200
bakllava/original: 10780 total, 0 already done, 10780 remaining -> results/captioning_bias_captions/bakllava__original.csv
Loading bakllava on cuda...

[bakllava/original] 2650/10780 (failed=0)
[bakllava/original] 2700/10780 (failed=0)
[bakllava/original] 2750/10780 (failed=0)
[bakllava/original] 2800/10780 (failed=0)
[bakllava/original] 2850/10780 (failed=0)
[bakllava/original] 2900/10780 (failed=0)
[bakllava/original] 2950/10780 (failed=0)
[bakllava/original] 3000/10780 (failed=0)
[bakllava/original] 3050/10780 (failed=0)
[bakllava/original] 3100/10780 (failed=0)
[bakllava/original] 3150/10780 (failed=0)
[bakllava/original] 3200/10780 (failed=0)
[bakllava/original] 3250/10780 (failed=0)
[bakllava/original] 3300/10780 (failed=0)
[bakllava/original] 3350/10780 (failed=0)
[bakllava/original] 3400/10780 (failed=0)
[bakllava/original] 3450/10780 (failed=0)
[bakllava/original] 3500/10780 (failed=0)
[bakllava/original] 3550/10780 (failed=0)
[bakllava/original] 3600/10780 (failed=0)
[bakllava/original] 3650/10780 (failed=0)
[bakllava/original] 3700/10780 (failed=0)
[bakllava/original] 3750/10780 (failed=0)
[bakllava/original] 3800/10780 (failed=0)
[bakllava/original] 3850/10780 (failed=0)
[bakllava/original] 3900/10780 (failed=0)
[bakllava/original] 3950/10780 (failed=0)
[bakllava/original] 4000/10780 (failed=0)
[bakllava/original] 4050/10780 (failed=0)
[bakllava/original] 4100/10780 (failed=0)
[bakllava/original] 4150/10780 (failed=0)
[bakllava/original] 4200/10780 (failed=0)
[bakllava/original] 4250/10780 (failed=0)
[bakllava/original] 4300/10780 (failed=0)
[bakllava/original] 4350/10780 (failed=0)
[bakllava/original] 4400/10780 (failed=0)
[bakllava/original] 4450/10780 (failed=0)
[bakllava/original] 4500/10780 (failed=0)
[bakllava/original] 4550/10780 (failed=0)
[bakllava/original] 4600/10780 (failed=0)
[bakllava/original] 4650/10780 (failed=0)
[bakllava/original] 4700/10780 (failed=0)
[bakllava/original] 4750/10780 (failed=0)
[bakllava/original] 4800/10780 (failed=0)
[bakllava/original] 4850/10780 (failed=0)
[bakllava/original] 4900/10780 (failed=0)
[bakllava/original] 4950/10780 (failed=0)
[bakllava/original] 5000/10780 (failed=0)
[bakllava/original] 5050/10780 (failed=0)
[bakllava/original] 5100/10780 (failed=0)
[bakllava/original] 5150/10780 (failed=0)
[bakllava/original] 5200/10780 (failed=0)
[bakllava/original] 5250/10780 (failed=0)
[bakllava/original] 5300/10780 (failed=0)
[bakllava/original] 5350/10780 (failed=0)
[bakllava/original] 5400/10780 (failed=0)
[bakllava/original] 5450/10780 (failed=0)
[bakllava/original] 5500/10780 (failed=0)
[bakllava/original] 5550/10780 (failed=0)
[bakllava/original] 5600/10780 (failed=0)
[bakllava/original] 5650/10780 (failed=0)
[bakllava/original] 5700/10780 (failed=0)
[bakllava/original] 5750/10780 (failed=0)
[bakllava/original] 5800/10780 (failed=0)
[bakllava/original] 5850/10780 (failed=0)
[bakllava/original] 5900/10780 (failed=0)
[bakllava/original] 5950/10780 (failed=0)
[bakllava/original] 6000/10780 (failed=0)
[bakllava/original] 6050/10780 (failed=0)
[bakllava/original] 6100/10780 (failed=0)
[bakllava/original] 6150/10780 (failed=0)
[bakllava/original] 6200/10780 (failed=0)
[bakllava/original] 6250/10780 (failed=0)
[bakllava/original] 6300/10780 (failed=0)
[bakllava/original] 6350/10780 (failed=0)
[bakllava/original] 6400/10780 (failed=0)
[bakllava/original] 6450/10780 (failed=0)
[bakllava/original] 6500/10780 (failed=0)
[bakllava/original] 6550/10780 (failed=0)
[bakllava/original] 6600/10780 (failed=0)
[bakllava/original] 6650/10780 (failed=0)
[bakllava/original] 6700/10780 (failed=0)
[bakllava/original] 6750/10780 (failed=0)
[bakllava/original] 6800/10780 (failed=0)
[bakllava/original] 6850/10780 (failed=0)
[bakllava/original] 6900/10780 (failed=0)
[bakllava/original] 6950/10780 (failed=0)
[bakllava/original] 7000/10780 (failed=0)
[bakllava/original] 7050/10780 (failed=0)
[bakllava/original] 7100/10780 (failed=0)
[bakllava/original] 7150/10780 (failed=0)
[bakllava/original] 7200/10780 (failed=0)
[bakllava/original] 7250/10780 (failed=0)
[bakllava/original] 7300/10780 (failed=0)
[bakllava/original] 7350/10780 (failed=0)
[bakllava/original] 7400/10780 (failed=0)
[bakllava/original] 7450/10780 (failed=0)
[bakllava/original] 7500/10780 (failed=0)
[bakllava/original] 7550/10780 (failed=0)
[bakllava/original] 7600/10780 (failed=0)
[bakllava/original] 7650/10780 (failed=0)
[bakllava/original] 7700/10780 (failed=0)
[bakllava/original] 7750/10780 (failed=0)
[bakllava/original] 7800/10780 (failed=0)
[bakllava/original] 7850/10780 (failed=0)
[bakllava/original] 7900/10780 (failed=0)
[bakllava/original] 7950/10780 (failed=0)
[bakllava/original] 8000/10780 (failed=0)
[bakllava/original] 8050/10780 (failed=0)
[bakllava/original] 8100/10780 (failed=0)
[bakllava/original] 8150/10780 (failed=0)
[bakllava/original] 8200/10780 (failed=0)
[bakllava/original] 8250/10780 (failed=0)
[bakllava/original] 8300/10780 (failed=0)
[bakllava/original] 8350/10780 (failed=0)
[bakllava/original] 8400/10780 (failed=0)
[bakllava/original] 8450/10780 (failed=0)
[bakllava/original] 8500/10780 (failed=0)
[bakllava/original] 8550/10780 (failed=0)
[bakllava/original] 8600/10780 (failed=0)
[bakllava/original] 8650/10780 (failed=0)
[bakllava/original] 8700/10780 (failed=0)
[bakllava/original] 8750/10780 (failed=0)
[bakllava/original] 8800/10780 (failed=0)
[bakllava/original] 8850/10780 (failed=0)
[bakllava/original] 8900/10780 (failed=0)
[bakllava/original] 8950/10780 (failed=0)
[bakllava/original] 9000/10780 (failed=0)
[bakllava/original] 9050/10780 (failed=0)
[bakllava/original] 9100/10780 (failed=0)
[bakllava/original] 9150/10780 (failed=0)
[bakllava/original] 9200/10780 (failed=0)
[bakllava/original] 9250/10780 (failed=0)
[bakllava/original] 9300/10780 (failed=0)
[bakllava/original] 9350/10780 (failed=0)
[bakllava/original] 9400/10780 (failed=0)
[bakllava/original] 9450/10780 (failed=0)
[bakllava/original] 9500/10780 (failed=0)
[bakllava/original] 9550/10780 (failed=0)
[bakllava/original] 9600/10780 (failed=0)
[bakllava/original] 9650/10780 (failed=0)
[bakllava/original] 9700/10780 (failed=0)
[bakllava/original] 9750/10780 (failed=0)
[bakllava/original] 9800/10780 (failed=0)
[bakllava/original] 9850/10780 (failed=0)
[bakllava/original] 9900/10780 (failed=0)
[bakllava/original] 9950/10780 (failed=0)
[bakllava/original] 10000/10780 (failed=0)
[bakllava/original] 10050/10780 (failed=0)
[bakllava/original] 10100/10780 (failed=0)
[bakllava/original] 10150/10780 (failed=0)
[bakllava/original] 10200/10780 (failed=0)
[bakllava/original] 10250/10780 (failed=0)
[bakllava/original] 10300/10780 (failed=0)
[bakllava/original] 10350/10780 (failed=0)
[bakllava/original] 10400/10780 (failed=0)
[bakllava/original] 10450/10780 (failed=0)
[bakllava/original] 10500/10780 (failed=0)
[bakllava/original] 10550/10780 (failed=0)
[bakllava/original] 10600/10780 (failed=0)
[bakllava/original] 10650/10780 (failed=0)
[bakllava/original] 10700/10780 (failed=0)
[bakllava/original] 10750/10780 (failed=0)
Done. 10780/10780 succeeded, 0 failed.
